review_id,customer_id,product_id,category,subcategory,review_text,rating,sentiment_label,review_date,helpful_votes,verified_purchase,language,word_count,has_image,device_type,reviewer_city,product_price,seller_rating,delivery_days,return_flag
R000001,C045992,PCLO0017,Clothing,Sarees,<p>DO NOT BUY THIS</p>. Fake product. Nothing like the images shown on the website.,1,Negative,2025-06-23,46,True,English,14,False,desktop_web,Ahmedabad,22570.73,2.9,,1
R000002,C048798,PHOM0081,Home,Storage,Waste of money!!!   Too   many   issues with this product. Very poor quality control.,1,Negative,2025-12-10,42,True,Hindi,13,True,desktop_web,DELHI,11800.29,3.0,8,1
R000003,C024089,PCLO0017,Clothing,Sarees,<p>DO NOT BUY THIS</p>. Fake product. Nothing like the images shown on the website.,1,Negative,2026-02-24,35,True,English,14,False,mobile_android,Bnglr,22570.73,4.7,3,0
R000004,C009298,PELE0031,Electronics,Smartphones,Loved it!! Perfect for daily use. My whole family loves this smartphones.,4,Positive,2025-07-09,36,True,Hindi,12,False,mobile_ios,DELHI,15266.97,2.8,10,0
R000005,C049476,PBOO0024,Books,Technical,Amazing value for money. The technical exceeded my expectations in every way possible.,5,Positive,2025-09-07,14,True,Code-mixed,13,True,mobile_android,Hyderabad,18689.07,1.5,6,0
R000006,C028224,PCLO0079,Clothing,Jeans,Very good product. Using it since 2 weeks. No complaints whatsoever. Recommended!!,4,Positive,2025-07-01,2,True,English,12,True,desktop_web,mumbai,21628.55,3.6,7,0
R000007,C040510,PBEA0071,Beauty,Makeup,,2,Negative,2025-08-12,25,True,English,,False,desktop_web,Bnglr,15706.93,3.1,13,0
R000008,C009680,PFOO0041,Food,Supplements,Product bahut accha hai. Quality is top notch. Will buy again for sure.,5,Positive,2026-01-24,,True,English,13,False,,chennai,14926.36,4.5,3,0
R000009,C041379,PHOM0010,Home,Kitchen,"Received a defective kitchen. Asked for replacement, still waiting after 2 weeks!!!",1,Negative,2025-08-20,18,True,English,12,True,,DELHI,15925.7,3.2,15,0
R000010,C012337,PHOM0029,Home,Storage,Excellent product! Very satisfied with the quality. Would definitely recommend to friends and family.,4,Positive,2026-03-05,32,False,English,14,False,tablet,Noida,23706.71,2.5,7,0
R000011,C003432,PHOM0042,Home,Kitchen,Very good product. Using it since 2 weeks. No complaints whatsoever. Recommended!!,4,Positive,2026-01-06,38,False,English,12,False,desktop_web,Kolkata,5839.63,2.6,2,0
R000012,C021528,PCLO0030,Clothing,Jeans,,4,Positive,2025-06-08,,True,English,,False,mobile_ios,Bangalore,1805.25,3.0,12,0
R000013,C022071,PCLO0034,Clothing,Shoes,Best purchase I've made this year. Fast delivery and great packaging. Five stars!,4,Positive,2025-11-16,,True,English,13,False,mobile_ios,Indore,1088.61,4.1,4,0
R000014,C030738,PCLO0098,Clothing,Shoes,Outstanding quality. I was skeptical at first but this shoes proved me wrong completely.,5,Positive,2025-09-15,12,False,Hindi,14,True,tablet,Ahmedabad,10920.07,4.4,5,0
R000015,C029447,PBOO0025,Books,Technical,Amazing value for money. The technical exceeded my expectations in every way possible.,5,Positive,2025-08-19,26,True,English,13,False,mobile_ios,Lucknow,20125.19,1.1,14,0
R000016,C009572,PCLO0040,Clothing,Sarees,Best purchase I've made this year. Fast delivery and great packaging. Five stars!,5,Positive,2025-11-12,,True,English,13,False,,DELHI,3358.0,2.2,1,0
R000017,C040817,PBEA0068,Beauty,Fragrance,This is my third purchase from this seller. Always consistent quality. Highly satisfied.,5,Positive,2025-10-22,,True,English,13,False,mobile_ios,mumbai,16280.58,1.3,2,0
R000018,C033268,PBOO0067,Books,Comics,Excellent product! Very satisfied with the quality. Would definitely recommend to friends and family.,5,Positive,2025-05-10,4,True,English,14,True,,Jaipur,5257.43,2.4,14,0
R000019,C045574,PBEA0090,Beauty,Fragrance,Amazing value for money. The fragrance exceeded my expectations in every way possible.,4,Positive,2025-01-19,,False,Hindi,13,False,desktop_web,Noida,15983.46,2.9,,0
R000020,C018751,PHOM0065,Home,Storage,"Received a defective storage. Asked for replacement, still waiting after 2 weeks!!!",1,Negative,2025-08-12,24,True,Code-mixed,12,False,tablet,Ahmedabad,23733.18,4.2,2,0
R000021,C019253,PHOM0028,Home,Kitchen,Superb! The kitchen is exactly as described. Very happy with this purchase.,5,Positive,2025-08-07,28,True,English,12,False,,Kochi,13938.75,4.8,,0
R000022,C023810,PBOO0025,Books,Technical,Terrible quality. Broke within 2 days. Complete waste of money. DO NOT BUY.,1,Negative,2026-02-05,,False,English,13,False,desktop_web,Lucknow,20125.19,,8,0
R000023,C037613,PCLO0040,Clothing,Sarees,<b>Great product!</b> Worth every rupee. Delivery was super fast too!!!,5,Positive,2025-02-28,,True,Code-mixed,10,True,desktop_web,Pune,3358.0,3.4,8,0
R000024,C004854,PBEA0062,Beauty,Skincare,Amazing value for money. The skincare exceeded my expectations in every way possible.,5,Positive,2025-06-13,35,True,Hindi,13,False,mobile_ios,Ahmedabad,21867.21,1.8,13,0
R000025,C037505,PHOM0077,Home,Kitchen,,4,Positive,2025-07-23,33,True,English,,True,mobile_ios,Jaipur,16544.32,3.7,15,0
R000026,C038522,PCLO0086,Clothing,T-Shirts,<p>DO NOT BUY THIS</p>. Fake product. Nothing like the images shown on the website.,1,Negative,2026-03-02,,False,English,14,False,desktop_web,Noida,21478.83,2.0,9,0
R000027,C006123,PBOO0014,Books,Self-Help,Best purchase I've made this year. Fast delivery and great packaging. Five stars!,4,Positive,2025-11-06,2,True,English,13,False,mobile_ios,mumbai,929.81,3.0,5,0
R000028,C016049,PBEA0015,Beauty,Fragrance,Excellent product! Very satisfied with the quality. Would definitely recommend to friends and family.,4,Positive,2025-08-26,20,True,English,14,False,tablet,BANGALORE,20357.61,1.4,2,0
R000029,C006345,PELE0051,Electronics,Smartphones,This is my third purchase from this seller. Always consistent quality. Highly satisfied.,5,Positive,2025-03-23,46,True,English,13,False,tablet,Noida,18918.73,3.0,,0
R000030,C029966,PFOO0046,Food,Dry Fruits,Excellent product! Very satisfied with the quality. Would definitely recommend to friends and family.,5,Positive,2026-03-08,34,True,Hindi,14,False,mobile_ios,Pune,11306.19,2.5,10,0
R000031,C018914,PELE0075,Electronics,Laptops,Very good product. Using it since 2 weeks. No complaints whatsoever. Recommended!!,5,Positive,2025-12-15,,True,English,12,False,,Ahmedabad,6061.6,3.0,1,0
R000032,C031048,PBOO0031,Books,Self-Help,<b>Great product!</b> Worth every rupee. Delivery was super fast too!!!,4,Positive,2025-07-21,19,True,English,10,False,,Kolkata,445.59,,2,0
R000033,C047535,PELE0027,Electronics,Chargers,This is my third purchase from this seller. Always consistent quality. Highly satisfied.,5,Positive,2025-10-26,46,True,English,13,False,mobile_android,mumbai,15928.18,1.1,3,0
R000034,C032888,PBEA0082,Beauty,Makeup,Worst purchase ever. Product arrived damaged and customer support was unhelpful.,1,Negative,2025-12-06,11,True,Code-mixed,11,False,,Ahmedabad,10823.53,3.7,5,1
R000035,C036575,PHOM0005,Home,Kitchen,Superb! The kitchen is exactly as described. Very happy with this purchase.,5,Positive,2025-09-08,50,True,English,12,False,tablet,Ahmedabad,13364.89,2.2,12,0
R000036,C042990,PFOO0062,Food,Snacks,"Not worth the price. Cheap material, poor finishing. Expected much better quality.",1,Negative,2025-10-15,,False,English,12,False,mobile_ios,Delhi,21432.48,2.9,999,0
R000037,C026668,PBEA0087,Beauty,Fragrance,Superb! The fragrance is exactly as described. Very happy with this purchase.,4,Positive,2026-01-29,34,True,Code-mixed,12,False,tablet,Bnglr,15530.41,,13,0
R000038,C018971,PELE0038,Electronics,Smartphones,<b>Great product!</b> Worth every rupee. Delivery was super fast too!!!,4,Positive,2025-10-06,8,True,English,10,True,desktop_web,Bnglr,20145.45,3.9,,0
R000039,C019335,PBOO0081,Books,Fiction,Best purchase I've made this year. Fast delivery and great packaging. Five stars!,4,Positive,2025-07-27,5,True,English,13,False,mobile_ios,Chandigarh,11958.0,2.0,13,0
R000040,C038173,PBOO0086,Books,Comics,,5,Positive,2025-06-07,45,True,English,,False,desktop_web,DELHI,7609.9,2.9,10,0
R000041,C030857,PBOO0050,Books,Non-Fiction,"Not worth the price. Cheap material, poor finishing. Expected much better quality.",1,Negative,2026-02-08,45,True,English,12,True,mobile_android,Gurgaon,22146.69,3.1,14,1
R000042,C038218,PBOO0000,Books,Self-Help,Excellent product! Very satisfied with the quality. Would definitely recommend to friends and family.,5,Positive,2025-08-22,43,True,English,14,False,desktop_web,Mumbai,2754.77,1.2,2,0
R000043,C004524,PBEA0083,Beauty,Haircare,Best purchase I've made this year. Fast delivery and great packaging. Five stars!,5,Positive,2026-01-09,24,True,Hindi,13,False,tablet,Bangalore,13325.57,3.2,6,0
R000044,C025760,PBOO0041,Books,Self-Help,Excellent product! Very satisfied with the quality. Would definitely recommend to friends and family.,4,Positive,2025-08-26,34,True,Hindi,14,False,tablet,Ahmedabad,22743.66,4.5,1,0
R000045,C001026,PFOO0046,Food,Dry Fruits,Theek thaak hai. Na bahut accha na bahut bura. Average dry fruits hai ye bas.,4,Positive,2026-03-23,25,True,English,15,False,mobile_android,BANGALORE,11306.19,4.3,6,0
R000046,C021016,PFOO0042,Food,Dry Fruits,Very good product. Using it since 2 weeks. No complaints whatsoever. Recommended!!,4,Positive,2025-02-01,47,False,English,12,False,,Chandigarh,15354.66,3.6,9,0
R000047,C009780,PHOM0007,Home,Kitchen,Product bahut accha hai. Quality is top notch. Will buy again for sure.,5,Positive,2025-12-29,3,True,Code-mixed,13,False,tablet,Chennai,414.05,1.3,6,0
R000048,C012484,PELE0052,Electronics,Smartphones,Amazing value for money. The smartphones exceeded my expectations in every way possible.,4,Positive,2026-01-06,,False,Hindi,13,False,desktop_web,Mumbai,3904.9,4.0,13,0
R000049,C039611,PFOO0009,Food,Spices,Very good product. Using it since 2 weeks. No complaints whatsoever. Recommended!!,4,Positive,2025-08-27,16,True,English,12,False,tablet,bangalore,12726.86,4.0,4,0
